MONTH,YEAR,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
JUL,1960,308.4,1296.8,553.7,357.4,412.1,196.4,1053.2,376.3,152.1,411,336.5,218.3,249.9,355.3,202.3,310.1,750.9,1140.9,257.3,235,136.6,374.9,96.4,444.1,243.1,89.9,132.5,254.3,764.5,146.8,203.6,466.7,378.5,203.2,102.3,334.9
AUG,1960,270.7,251.3,349.2,285.5,441.5,92.5,510.5,495.3,332,317.2,317.4,210.6,339,226.8,183.3,432.7,336.8,501.8,168.4,138,66.8,286.6,29.4,461.7,234.1,27.1,42.9,124.4,387.2,55.6,82.1,420.7,199.9,392.9,76.1,391.9
SEP,1960,442.4,1034.8,479.4,348.1,145.4,287.3,450.5,82.7,20.2,174.5,246.3,73.1,15.6,72.9,34.2,274.6,371.2,285.1,221.3,229,206.8,255.6,313.9,214.6,8.6,224,32.4,162.7,623,108.4,197.5,189.2,114.8,53.6,3.2,94.7
OCT,1960,400,13,60.9,37.9,111.9,108.8,169,104.8,7.4,136.7,71.1,6.3,35.2,7.2,1.1,44.8,255.9,82,169.7,44.9,78.5,165.9,32.9,130.8,0.5,59.8,0.5,112.8,71.9,134.5,59.4,76.6,78.5,53.2,0,187.7
NOV,1960,191.7,13.4,29.3,2,0.4,24.3,87.6,0,0,0.6,0.6,0,0,3.8,4.1,0.6,358,15.3,235.9,18.8,14,51.3,20.4,3.6,0,227.1,0,65.3,0,354.1,12,2.2,1.1,0,0,0
DEC,1960,92.8,10.4,3.9,0,0,20.3,0,0.8,1.5,0,0,0.1,8.9,66.2,39,0,23.7,0.5,17,0.8,0.1,0.3,0.1,13.9,20.3,7.2,0,0.2,0,21.2,1.4,16.3,2.4,1.5,6.1,1.9
JAN,1961,82.1,50,11.5,11.7,2.5,9.6,0,29,11.9,24.7,11.1,0,40.2,153.8,103.3,8.9,13.7,0,60.3,0.3,0.9,9.5,0.1,15.9,51.7,2.4,1,2.1,11.5,76,0.8,126.3,1.1,22,5.2,44.5
FEB,1961,99.4,204.2,19.7,35.8,44.1,28.4,0,11.2,7,25.6,75.8,0.6,29.9,157.2,57.9,84.3,31.3,5.2,47.4,0.1,0.1,37.5,0.6,116.2,39.5,7.9,7,3.4,38.9,12.7,6.1,133.7,5.7,1.8,12.5,33.1
MAR,1961,33.2,289.6,253.8,1.4,5,2.3,0.9,3.8,0,0,6.8,0,0.4,68.8,54.5,1,11.4,0,0,0.5,5.6,193.3,6.4,3.2,3,0.5,4.8,2.6,19.6,2.2,2.7,24.1,4.5,0.5,0.2,0.1
APR,1961,88.1,181,123,2,10.9,9,47.7,5.8,0.6,1.6,13.6,0,4.6,104.2,107.5,4.6,94.1,2.3,31.3,9.8,6.7,76.9,32.1,15.9,14.2,3,0,62.5,39.3,23.9,11.8,20.5,5.3,0.7,5.6,2.1
MAY,1961,973.1,492.3,355.8,33.9,16.1,44.4,635,8.4,5,6.6,91.2,0.6,11,34.2,55.1,30,500.5,182.2,421.1,104.2,35.7,212.1,102.1,59.7,4.6,41.4,2,161.6,279.2,71.9,46.1,41,21.4,6.9,6.5,7.6
JUN,1961,383.3,595.5,335.4,239.7,377.4,138.6,1013,132.9,39.2,92.7,275,90.2,46.2,88.7,107.3,298.6,1005.2,738,593.2,163.5,170.8,332.5,99.9,324.8,43,96.2,125.9,196.2,448.3,73.8,142.2,181.2,152.7,74,102.8,73.4
JUL,1961,304.9,738.3,352.9,211.6,533.2,199.8,1884.9,499.4,227.8,285.1,171.4,365.1,150.1,320.3,199.6,296.3,1146.5,1543.3,297.3,411.9,253.7,316.5,245.4,406.2,216.1,112.5,294,492.7,448.9,99.4,368.3,490.1,372.6,311.3,72.2,302.5
AUG,1961,557.1,547.9,347.4,317.5,467.6,172.9,936.3,462.9,225.7,407,252.8,174.6,251.4,314.3,217.4,358.2,678.3,712.6,228.2,135,143.4,342.8,78.4,327.9,199.3,124.7,127.2,213.5,542,110.4,209.2,511.6,401.6,318.8,66.5,467.5
SEP,1961,612,256.2,226.1,157.5,401.2,181.2,702.8,358.4,337.2,154.8,290.9,297.7,52.4,153.1,118.3,317.2,399.3,486.1,215.8,104.8,97,258.8,33.1,483.2,87,54.3,178.8,93.8,341.5,122.2,144.5,226.4,326.2,559.4,123.9,113.5
OCT,1961,379.9,260.5,128.1,236,102.8,282.3,309.6,65.7,23,203.5,101,16.1,25.8,46.2,28.8,155.3,274.2,248.9,148.1,128,238.1,96.1,144.9,178.2,22.8,141.5,12.1,165.4,127.5,154.7,188.3,122.7,143.3,128.5,2,141.4
NOV,1961,280.6,57.1,34.8,0.8,5.8,48.7,21,7.5,6,0.6,0.8,0.1,6.6,37.6,53.2,1.6,85.9,2.4,98.8,10,5.2,24.4,5.6,11.3,2.8,62.8,0.2,14.3,2.1,107.5,26.4,13.1,2.9,8.3,1.1,1.9
DEC,1961,144.5,3.9,6.9,10.1,7.3,2.1,2.7,13.7,0.9,11.9,0.1,0,9.2,37.2,35,4.6,17.5,0,93.8,2.5,1.8,0.8,0,2.7,6.1,4.2,0,1.4,5.4,56.1,0.2,57.5,3.4,1.3,1.8,10.5
JAN,1962,152.4,37.2,24.9,13,3.8,3.7,0.2,12.8,1.1,28.6,8.8,0,21.1,45,20.5,8.2,28.4,0.2,11.1,0.2,0.6,11.2,0,8.3,39.6,1.9,0,1.4,33,10,0.2,79.5,5.6,6.7,0.8,34
FEB,1962,14.9,87.1,27.6,7.8,15.8,8.7,3.4,23.1,1.5,17,13.1,0,10.4,102.9,97,15,54.7,0,0,0.1,2.8,26.6,5,5.1,14.2,4,0,6.9,21.7,23.6,25.1,86.3,4.6,4.9,0.2,18.6
MAR,1962,17.3,45.1,17.3,9.5,10.4,0.9,0.1,21.5,3.6,9.2,6,1.4,7.7,82.9,51,4.3,39.6,0.1,0,6.7,2.7,5.4,2.9,19.8,43.2,5.4,0.7,5.5,14.4,13.6,2.1,68.7,18.4,7.8,7.8,15.1
APR,1962,46.4,250.3,134.7,20.8,23.8,34.6,31.6,9.5,2.1,4.8,54.5,1.3,1.3,102.6,117.5,31.1,95.1,0.7,81.5,12.9,37.8,139.8,58.8,35.9,4.2,44.8,0.7,81.3,57.2,48.4,47,27.3,33.1,8.4,2.3,0.8
MAY,1962,310.4,601.9,369,38.8,28,69.6,359.4,9.5,2.9,3.2,80.3,2.3,1.5,55.4,34,26.5,472.4,129.5,331.2,57.2,43.4,156.6,52.5,34.1,4.7,77.5,2.8,118.5,318.7,114.1,20.3,21.5,21.7,4.1,2.1,2.2
JUN,1962,367.7,1088.8,601.4,156.4,130.5,121.1,405.4,55.5,5.1,81.7,185.6,49.3,14,86.5,41.1,167.4,244.9,435.5,149.3,46.8,67.3,554.6,82.1,192.7,26,54.2,24,66.1,537.1,44,84.5,150.9,67.1,16.4,3.3,45.9
JUL,1962,409.1,758.1,338.8,244.3,371.6,231.3,1307.9,327.2,262.4,226.3,241.1,298.8,144.7,242.7,132.7,251.5,951.1,1355.1,204.5,287.5,164.7,298.8,140.1,379,167.5,40.4,136.9,310.4,516.6,56.7,270.5,402.2,364.3,308.7,126.5,221.2
AUG,1962,420.6,1405.9,509.8,395.4,276.1,179.1,1080.9,325.7,176,428.1,209.3,181,111.5,255.8,137.1,265.5,510.7,880.4,286.7,164,192.2,356.6,144.7,263.2,126.8,117.1,103.2,268.5,663.2,130.5,264.1,398.2,267.3,207,62.1,238
SEP,1962,474.5,222.4,137.4,216.3,210,288.1,413.5,229.5,139.9,265.4,233.6,227.1,189.4,303.7,171.3,213.5,394.9,525.9,201.8,199.9,304.7,142.5,165.7,237.3,321.2,140.7,90.3,149.1,279.5,114.8,289.6,341.5,267.2,313.3,55,214.6
OCT,1962,259.8,255.6,118.2,72.5,26.3,357.6,313.4,1.4,0,2.3,141,0,0,5.8,11.9,55.8,475.6,48.8,210.9,51.9,41.4,130.4,99.3,164,0.5,231.4,0.3,203.7,77.4,275.7,62.5,8.6,8.3,0.1,0,0.1
NOV,1962,101.7,NA,11.1,0,2,35.8,18.5,1.7,1.7,0,0,8.9,2.9,66.5,52.7,0,31.5,12.8,33.5,23,33.5,0,25.4,2.5,14.8,34.4,12.7,29.6,0.4,63.1,38.6,29,30.5,8.2,0.2,1.6
DEC,1962,384.9,NA,5.8,3.2,26.4,15,83.3,51,7.8,5.4,0.1,2.9,6.5,43.8,63.5,8.9,76.9,96.2,76.1,48.8,54.6,0,62.4,4.7,6.7,64.4,0.2,65.9,2.6,47.1,34.2,33.9,64.5,20.3,2.1,6.1
JAN,1963,79.9,14.6,3.3,3.4,0.4,0,1.1,7.2,0.4,14.8,0.4,1.4,3.1,14.1,0,2.8,30.2,0,126.7,0.8,0,0,0,0.2,0.4,7.1,0.5,1.2,2.1,76.2,0,17.4,0.3,6.1,0.1,13.6
FEB,1963,26.8,35.2,7.9,1.7,5.4,0,0.7,13.5,1.4,2.4,2.4,0,4.1,57.2,36.4,7.8,24.8,0.1,112.9,4.3,6.2,4.6,10.9,6.9,14.5,0.3,0,2.8,0.7,4.8,0.3,35.5,10.5,5.5,0.6,5
MAR,1963,7.4,168.6,51.1,9.4,8.9,7,28.6,5.7,1,10,5.7,0.9,4.4,201.2,251.8,9.9,69.8,0.1,6.5,14,15.5,50.7,33.9,9.1,34.3,10.1,1,13,32.2,39.1,4,130.9,12.9,2.5,5.7,5.2
APR,1963,69.5,262.6,183.3,17.5,44.8,50.2,38.5,16.2,2.7,8.6,61.6,0.3,2,49.5,188.9,23.3,96.3,1.1,72.6,12,7,179.3,34.4,47,3,38.1,1.5,51.6,103.9,56.5,35.5,51.4,14.8,3,1.5,3.5
MAY,1963,259.9,346.4,288.4,78.9,28.2,23.5,86,10.7,2,19.4,103.6,0.3,3.9,47.2,82.4,67.7,157.1,7.6,204.6,23.3,13.5,278.5,78.9,90,12.7,26.4,0.5,78.1,323.6,45.1,9,49.3,19.5,3.9,3.3,9.7
JUN,1963,434.7,755.4,596,154,160.8,126.6,682.3,147.9,33.2,99.9,258.8,65.4,40.7,108.9,24.8,171.5,393.3,594.5,233,138.6,228.4,687.9,113.1,218.7,31.3,77.6,25,108.5,409.4,49.9,179.5,193.1,204,71,6.3,70.9
JUL,1963,303.3,817.4,557.3,375.4,349.4,137.4,887.6,274.2,130.3,320.8,277.6,291.4,55.3,325.7,68.4,301.6,720.2,1178.8,367,252.3,172.2,510.3,73.9,310.6,116.7,82.6,83.1,197.5,676.1,93.1,214.7,360.9,282.1,235.2,23.3,165.4
AUG,1963,601.2,1199.3,432,273.5,387.7,176.1,1013.8,364.4,283.9,339.9,167.1,350.9,307.6,308.1,67,249,511,1414.7,249.9,268.7,380.4,383,195.5,361.9,199.4,148.2,123.6,232.5,611.9,88.7,372.7,523.4,397.9,363.1,96.4,361.4
SEP,1963,614.3,366.4,211.7,255.7,258.8,131.3,181,243.6,97.3,146.1,270.9,227.6,85.3,111.3,32.9,241.3,223.9,306.3,121.8,72.7,82.8,494.6,63,306.9,42.6,95.9,65.8,92.6,267.7,115,103.3,345.1,123.9,155.4,27,279.5
OCT,1963,295.5,136.4,144.1,138.7,91.2,371.7,233.7,27.9,6.9,24.9,131.5,26,0,2.4,12.8,228.6,282.6,91.9,113.5,93.5,92.4,373.4,178.6,204.9,0.6,159.7,45.4,193.8,152.5,173.4,91.2,10.8,80.1,26.8,4.9,0.3
NOV,1963,109.3,20,29.4,17.8,1.2,0.1,8.2,7.7,17.6,8,9.5,33.1,9,76.8,83.5,11.2,93.4,11.7,211.5,19.1,2.7,6.5,1,3.9,7,33,32.5,9,21.7,195,0,43.9,1.7,30.6,5.1,10.9
DEC,1963,179.9,15.7,7.2,0.2,0.3,0,10,1.2,0.9,1.7,0.5,0.4,6.3,52.2,60.2,0.2,48.4,0,82.1,0.6,0,1.2,0,2,13.6,30,0.2,12.3,3,135.9,0,40.2,0,2.2,0.3,4.3
JAN,1964,65.5,55.4,9.6,1.4,1,0.7,0,0.2,0,1.6,2.7,0.1,4.7,176.6,126.2,2.2,1.1,0,2.5,0,0,4,0,1.7,11,0,0.2,0,0,1.6,0,89.7,0,0,0.6,2.3
FEB,1964,21.9,90.3,22.6,3.3,21.9,11.2,0,8.1,0,6.6,11.1,0,1.5,58.8,60.7,12.2,7.8,0,3.5,0,0.2,37.1,0.8,28.3,5.7,0,0,0.1,1.2,1.2,0.2,72.5,2,0,0.3,0.8
MAR,1964,3.1,81.1,80.7,2.4,3.9,1.1,2.6,2.2,0,0.2,18,0,0.9,83.6,96,4.7,67.2,0,5.2,4.1,5.1,67.9,4.3,11.9,3.9,0,0,0.7,9.4,15.5,5.5,75,3,2.2,0.5,1.9
APR,1964,18.1,219.7,268.3,21.9,6.5,6,5.8,1.3,0.1,3.7,58.3,0,0.4,97.7,134.6,18.9,83.3,0.9,40.4,6.2,1.5,280.6,16.9,33.2,5.2,2,0,23.6,127,11.4,2.1,48.4,1.3,0,0.4,0.6
MAY,1964,530.6,286.4,297.4,59.3,4.5,33.5,23.4,2.5,30.6,43.4,84.7,4,14.6,86.8,41.3,53.8,94.8,5.2,64.2,7,1.3,303.2,14.6,48.8,19.2,12,1.6,51,184.7,56.8,0.7,95.2,0.6,7.7,13.7,20.2
JUN,1964,465.3,1432.8,557.9,134.7,269.2,116.9,631.7,131.5,42,82.9,136.2,106.2,8.8,86.2,92.7,200.4,379.4,690.3,376.1,139.8,120.3,357.8,97.6,142.5,10.2,56.6,105.5,122.2,613.2,31.3,109.1,162.7,166,111.7,25.4,38.8
JUL,1964,287.3,1506.1,600.3,453.6,371.6,170.1,864,360.1,211.1,398.7,404.2,371,370.7,278.9,167.4,306.4,754.2,908.3,407,238.9,246.5,484.4,211.7,372.4,359.3,213.4,168.4,280,959.1,174.7,186.3,463.8,259.5,278.8,138.9,416.3
AUG,1964,472.1,492.1,340.4,157.7,515.3,226.4,978.1,433,289.6,179.9,211.3,296.3,191.5,246.8,99.4,262,548,1031.8,174.6,242.3,150.7,242,129.2,427.9,189.8,89.4,184.9,305.4,445.6,100.8,232.3,402,357.9,312.2,140.5,246.7
SEP,1964,521.2,465.1,326.3,219,201.8,353.6,363.9,226,71.7,292.2,219.9,114.6,111.2,197.1,64,214.4,398.2,378.9,342.5,223.1,219.9,213.3,289.1,195.5,95,225.2,78.8,182.7,486.8,92.3,302.4,327.6,176.8,163.3,16.4,261
OCT,1964,218.9,246.2,205.1,66.3,109.1,76.2,200.2,21.3,0.1,18.3,124,0.5,0.6,0.1,1.3,71.5,325.7,158,120.9,60,20.1,284.7,110.8,84.1,0,51,0.1,121.5,151,187.7,41.7,1.3,40.8,2.8,0.1,1.6
NOV,1964,349.2,12.2,8.3,2.7,4.1,64.6,53.1,0.9,0,0.8,8,0,0.1,1.8,4.6,3.9,191.7,18.9,90.8,23.3,15,46.3,22.4,8.2,0,128.4,0,78.4,3.4,166.4,7.2,0,2.3,0,0,0.2
DEC,1964,101.6,71.9,12.8,0,0,0.7,17.6,0.2,1,8.5,0,0,6,39.6,58,0,17.8,0.4,24,0.9,0,7.5,2.4,0,9.6,13.6,0,3.8,0.1,70.9,0,31.3,0.6,1.2,0.6,11.6
JAN,1965,11.8,37.4,5.1,0.4,5.8,1.4,2.5,4.6,4.6,2.1,0.3,7.4,6.2,52.5,62.2,0.8,9.1,3.4,0.2,5.8,5.4,1.9,1.3,10.6,13.1,0.6,5.5,1,0.2,1.8,2.7,44.4,18.7,4.8,3.6,8
FEB,1965,30.4,120.7,73.6,1.2,4.5,1.2,0,0.9,4.2,0.7,33.9,0,11.5,209.1,138.1,8.7,0.9,0,7.3,0.2,1.5,61.5,0,17.3,23.9,0.6,0,0.2,22,7.2,0.8,159.5,4.9,0.7,1.3,10.4
MAR,1965,25.3,103.7,52.5,15.7,22.3,7.1,0,15.3,1.9,9.9,46.5,0.6,7.3,170.9,99.9,26.6,28.3,0,8.3,0.3,0,35.9,0.5,59.1,15.3,5.5,0,4.6,48.2,10.1,4.4,119.3,4.9,1.6,3.2,10.6
APR,1965,51,254.4,158.2,7.1,14.4,35.4,9.7,12.5,3.1,19.3,32.8,0.4,8.6,126.6,179.8,31.3,109.8,5.7,35,10.2,9.5,59.4,14,37.9,21.3,40.2,0.3,24.6,69.5,63.8,6.8,62.1,15.5,2,2.7,21.1
MAY,1965,292.3,306.9,327.1,7.7,8.4,36.7,39.7,0.6,3.3,2.7,45.3,1.3,20.4,143.9,153.4,14.8,214.5,0.1,162.5,12.3,0.8,169.5,17.2,37.6,34.3,15.6,0.2,42,232.4,40.9,2.7,44.1,1.6,0.6,7.1,10.6
JUN,1965,408.8,404.7,501,98.8,111.1,52,797.8,68.5,7,21.4,227.6,11.2,2.1,24.9,32.4,113.1,597.7,817.6,200.6,82.9,129.3,520.5,110.4,123.1,1.6,47.2,1.4,129.8,444.6,33.5,124.3,50.3,113.6,31.1,6,3.7
JUL,1965,392.1,315.8,399.6,302.2,310,166.3,1002.5,205.9,201.7,204.5,289.6,442.4,120.3,278.3,83.9,354.6,465.1,1393.7,164.2,380.7,218.7,373.4,185.9,392.9,192.6,78.6,285.7,245.2,697.6,55.4,318.6,388,262,270.8,128,215.4
AUG,1965,396.6,351.3,422.1,328.3,208.3,157.5,577.2,185,106.9,213.6,287,165.9,133.3,117.3,62,215.9,296.1,608.8,267.7,200.3,180,323,120,187.3,91.6,168.8,112.1,141.1,830.2,169.8,152.2,302.8,181,142.5,52,219.4
SEP,1965,576.8,172.9,304,215,251.8,208.1,196.8,184.2,83.4,161.7,220.3,24.1,60.9,39.9,16.4,206.2,150.1,147.5,92.4,54.8,69.4,262.2,150.1,222.9,14.2,109.4,13.7,81.4,345.7,92.7,166.2,87.5,139.6,124,7.8,148.4
OCT,1965,290.5,51.5,82.4,22.2,4.9,61.3,25.1,11.2,7.8,47.9,80.1,1,11,25.8,26.2,39.2,183.7,8.9,69.2,10,5.9,164.1,3.8,83.9,10.4,13.2,0.2,17.7,39.5,123.9,0.1,33,1.3,5.9,3.4,25.3
NOV,1965,187.9,72.6,60.8,1.8,0,25,20.1,0.1,0,0.5,0.3,2.4,0.1,12.8,33,0.3,131.7,2.2,77.9,4.6,0.4,22.6,2.8,1,4.5,62.2,2.1,25.8,32.7,120.3,0,11.8,0,1,0.1,0
DEC,1965,500.4,4.9,12.5,2.4,0,2.3,159.8,9.1,0,1.2,0.2,0.1,0.2,18.3,25.2,0.9,155.5,83.7,320.6,28.5,10.4,37,26.8,1,0.5,54.3,0,21.7,0.2,202.3,0,2.9,0.5,9.6,0,0.7
JAN,1966,79.8,22.4,20,21.2,20.9,40.1,3.7,13.2,0.1,13.5,33.1,0.2,3.3,0.3,1.5,24.7,3,0,21.3,1.9,18.9,15,13.4,49.9,0.2,6.1,0.2,4.2,29.5,16,19.8,3.2,16.1,4,0.1,6
FEB,1966,4.2,91.5,23.6,6.9,0,1.2,0,3.8,2.6,8.8,4.4,0,34,145,199.3,3.8,6.9,0,0.2,0.5,0,2.7,0.3,3.6,38.9,0.2,0,0.9,7.6,1.6,0,86.6,1.1,0.9,11.4,13
MAR,1966,12,98.4,36.1,0.1,2.2,5,0.8,1.9,0,0.2,5.1,0,6.7,78.4,155.2,0.2,67.7,0,6.2,1.4,10.4,39.8,5.5,0.9,18.5,0,0,2.5,3,11.9,2.6,48.9,10.5,2.2,1.5,0.8
APR,1966,38.7,180.2,164.3,0.9,16.3,8.6,11.8,0.7,0,0,18.3,0,1.7,77.2,148.5,10.5,167.4,0.2,4.4,2.1,10.5,85.3,10.6,28,3.6,9.7,0,24.7,51.5,33.4,7.9,17.8,7.9,0.1,0.1,0.2
MAY,1966,376.9,177.9,323.7,39.5,19,22.8,196,7.6,12.7,8.4,43.4,0.5,45.3,95.7,114,22.1,95.2,64.7,34.9,81.5,45.8,190.3,82.9,37.9,37.6,45.2,0.2,90.9,231.7,51.8,2.7,76.7,30.7,2.8,11.7,20.5
JUN,1966,148.8,473.2,780.5,114.5,267.8,107.1,577.9,210.7,74.8,185.7,296,123.1,128.9,187.1,59.9,233.2,496.2,370,376.7,83.8,63.1,666.8,68.9,306.3,85.1,94.5,74.7,82.3,287.5,51.6,67.2,270,84.8,69.2,34.9,143.3
JUL,1966,433.5,432.7,507.1,155.5,294,243.3,1122.4,253.4,141.7,149.3,168.7,316.4,98.2,250.5,169.7,174.1,601.9,1168.8,421.9,315,228.6,399.3,145.5,340.2,109.8,96.7,167.3,256.1,741.5,76.4,294,363,387.5,267.7,51.3,146.5
AUG,1966,335.6,411.6,518.2,308.3,253.4,163.9,278.3,262,156.2,274.3,236.6,71.2,312.8,298,203.9,263.4,202.1,224.1,158.9,94,85.9,405,80.7,211,200,129.1,6.8,91,682.8,143.4,216.3,410.3,206.5,200.6,91.5,356.5
SEP,1966,454.1,197.6,248.1,83.1,154.6,128.7,299.6,51,81.3,23.1,187.2,183.9,69.1,153.3,217.4,87.9,293.2,443.5,225.4,149,191.6,361.5,160.6,155.9,132.6,143.9,76.5,188.5,357.3,166.1,254.4,125.7,191.4,104,48.3,49.3
OCT,1966,171.9,78.9,124.5,18.3,25.1,66.5,191.9,2.2,0.6,15,84.9,0.8,6.7,30.8,83.6,35.8,392.3,43.9,266.1,14.5,13,207,54.8,78.9,9.5,94.2,0.7,132.8,100.9,290.6,39.5,35.1,4.6,0.6,1.8,9.3
NOV,1966,333.8,39,31.8,17.1,12.8,146.6,231.5,34,3.1,18.3,34.7,0.3,1,13.9,3.5,15.9,245.4,111.3,158,82.6,65.9,40.9,92,63.4,0,247.9,0.1,123.2,18.3,224.3,34.9,15.3,34.9,23.8,0.3,7.8
DEC,1966,311.9,6.3,11.4,1.6,20.9,20.9,62.8,8.8,0.2,11.1,6.3,0.1,0.2,40.8,22.4,8.1,50.5,1.1,67.5,11.2,13.5,65.1,8.4,10.9,2.3,36.6,0,13.8,3.8,99.8,31.7,13.3,26.8,4.1,0,2.9
JAN,1967,164.6,13.3,11.4,0.2,1.7,13.1,2,0.2,0,2.1,52.5,0,0,30.8,17.5,8.6,14.3,0,7.8,0,0,51.5,1.2,70.9,0.2,16.8,0,5.7,2.3,28.9,0.3,11,0.5,0,0,0.5
FEB,1967,21.6,45.5,37.3,0.1,0,0.1,0,0,0,0.1,3.3,0,2.4,99.1,114,1,0.1,0,2.7,0.1,0,33.6,0,0.4,13.1,0,0,0,0.1,1,0,35,0,0,0,0.1
MAR,1967,30,147.9,105.9,38.6,96.8,71.8,0.1,53.3,57.4,30.5,44.9,42.1,43.4,181.5,156.9,39.9,24.6,7.7,0,4.7,4,129.5,11.8,87.7,84.8,34.7,46.2,4.7,98.8,40.4,62.7,112.5,50,31.9,59,34.4
APR,1967,63.4,96.6,112,30.6,15.5,18.6,18.5,1.1,1.4,9.2,65.3,0.4,0.9,31.4,88.1,24.2,70.1,0.8,0,13.3,1,195.8,34.6,40.9,1.8,7.3,0.7,25.7,85.3,19.3,8.5,26,7.4,2.5,2.1,1.3
MAY,1967,516.4,164,287.5,23.6,12.2,19.7,86.7,2.1,2.6,8.1,53,0.2,13,48.1,54.5,43.7,244.9,7.5,148.3,7.8,5.9,247.8,32.5,25.7,1.1,51.5,0.2,77.8,213.7,47.6,1.1,23.2,1.6,0.9,2,3.8
JUN,1967,340.8,253.1,395.7,80.7,184.3,124.3,658.7,118.5,87.3,81,131.6,132.7,33.1,99.3,52,71.9,541.7,768.9,301.2,130.4,146,311.7,74.1,233.3,14.7,62.7,106.2,136.3,727.5,69.1,166.7,122.6,184.6,125.9,25.2,51.8
JUL,1967,537.8,434.5,497.7,278.2,397.9,245.6,1368.5,396.5,157.3,264.7,247.8,413.2,224.3,386.3,137.9,283.5,741.4,1109.2,380.1,367.4,224,388,187.1,315.3,211.6,127.3,467.4,350.4,901.6,69.4,320.8,436.3,406.8,223.5,63.1,263.6
AUG,1967,614.3,220.8,258.9,282.1,508.3,124.6,673.4,481.2,250.9,443.3,368.8,204.1,336,403.3,160.6,450.8,508.4,416.9,196.9,139,104.1,334,72.5,340.7,197.8,48.9,61.2,157.3,274.1,81.2,183.7,518.7,244.8,253.8,96,509.6
SEP,1967,303.5,212.8,300.6,253.8,188.5,141.5,237.1,262,163.1,155.9,326.2,123.8,96.3,105.7,115.9,268.5,145.8,317.1,100.4,146.7,136,341.3,141.9,281.8,61.5,140.9,30.8,57.8,409.4,76.2,139.4,146.5,101.6,222.2,64.2,223.5
OCT,1967,427.5,58.5,97.6,10.3,9.2,27.9,124.8,5.8,1.1,2.7,52.3,1,7.8,36.9,47.1,19.8,172.7,109.6,92.3,43.1,26.4,184.8,80,18.3,14.2,100.3,0.1,96.2,128.7,182.3,5.6,22,8,2.3,3.3,4.8
NOV,1967,99.7,10,14.5,0.1,0.4,4.6,7.4,1.1,1.3,0.7,1.3,0,13.8,23.8,15.7,1.1,74,0.7,24.5,2.1,0,10.9,1.7,1.8,1.9,43.2,0,12.3,7.9,127.1,0.2,22.4,1.1,0.1,3.7,2.1
DEC,1967,97,11.5,4.2,1.5,57.6,51.4,4.5,86,37.7,31,1.4,21.1,68.9,112.4,131.2,12.3,31.1,14,33.1,58.6,112.4,1.1,8.4,10.7,77.6,104.2,25.6,16,11.1,156.7,53.1,79.9,121.8,82.5,21.7,61.6
JAN,1968,22.1,54.2,22.9,29.1,25.6,11.3,2,35.7,8.6,28.8,5.7,0.1,14.1,188.5,117.2,34.4,7.3,0,8.7,1.6,5.8,17.3,1.9,33.4,24.7,0.1,1.1,0,26.3,4.6,16.5,173.1,14.6,9.2,2.9,21.8
FEB,1968,1.3,41.4,19.8,1.7,26.1,11.8,0,12.1,1.5,5.5,7.6,0.3,15.9,114.1,72.4,9.4,30.5,0.3,1.8,3.6,23.8,20.9,15.8,29.7,30.5,2.6,1,8,4.7,5.6,15,122.8,23.9,2,6.2,8.4
MAR,1968,4.2,135.9,78.2,7,16.3,13.6,6.3,8.8,6.6,4.5,7.7,1.2,17.3,80.8,85.2,5.5,89.2,0.1,30.6,9.4,32.2,80.9,2.7,20.7,32.7,10.8,0.9,8.5,34.3,36.5,35.1,62.9,36.6,9.7,2.9,10
APR,1968,81.5,117.6,170.8,3,19.5,42.9,43.7,3.5,0.1,2.6,12.6,0,0,50.9,63,4.7,133.3,6,45.4,11.2,11.3,142.2,41.2,26.5,2.1,38.1,0,47.5,90.8,85.9,16,49,15.4,1.2,0,0.3
MAY,1968,297.6,307.2,432.3,17.3,4.5,28,19.2,1.2,4.2,1.7,35.5,0.1,2.3,44.9,58.6,22,90,1.5,16.6,2.5,0.7,253.8,32.2,45.7,1.6,21.2,0.6,71.8,237.3,46.9,7.4,15,0.7,0.2,7,0.1
JUN,1968,545.2,510.1,595,261.8,176.2,70.8,826.6,101.9,5.2,95.1,368.8,33.8,28.3,99.3,52.1,272.6,696.4,556.9,393.8,95.4,94.2,396.1,92.4,186.7,42.6,45.2,11,120.6,646.7,47.9,87.6,218.6,104.8,34.4,0.4,46.4
